SessionNum,Elapsed Time,Clock Time,ProbSleepOnset,ProbDistraction,ProbLowEng,ProbHighEng,CogState,ProbFBDSWorkload,ProbBDSWorkload,ProbAveWorkload
184103000,00:15:27:000,01:20:05:795,2.06E-07,0,0.004534073,0.995465696,0.9,0.361975,0.366185,0.36408
184103000,00:15:28:000,01:20:06:796,0.000138301,0,0.050947189,0.948914528,0.9,0.718374,0.568606,0.64349
184103000,00:15:29:000,01:20:07:796,0.005119956,0,0.00037403,0.994506001,0.9,0.571225,0.400408,0.485816
184103000,00:15:30:000,01:20:08:800,0.004900598,0,0.00034546,0.994753957,0.9,0.696131,0.458566,0.577348
184103000,00:15:31:000,01:20:09:812,0.144695684,0,0.1185214,0.736782908,0.9,0.492812,0.389324,0.441068
184103000,00:15:32:000,01:20:10:796,0.000231569,0,0.060025085,0.93974334,0.9,0.472061,0.308401,0.390231
184103000,00:15:33:000,01:20:11:796,6.67E-05,0,0.02292078,0.977012515,0.9,0.439046,0.360221,0.399634
184103000,00:15:34:000,01:20:12:819,0.110062703,0,0.867881417,0.022055862,0.6,0.664379,0.558232,0.611306
184103000,00:15:35:000,01:20:13:795,0.163541719,0,0.72727859,0.109179668,0.6,0.768917,0.66491,0.716914
184103000,00:15:36:000,01:20:14:795,6.30E-08,6.00E-12,0.090772189,0.909227729,0.9,0.55368,0.597561,0.575621
184103000,00:15:37:000,01:20:15:796,4.83E-09,2.10E-11,0.395033389,0.604966581,0.9,0.715232,0.632011,0.673621
184103000,00:15:38:000,01:20:16:796,0.000175526,1.70E-11,0.251781136,0.748043299,0.9,0.788696,0.722148,0.755422
184103000,00:15:39:000,01:20:17:801,0.006304954,0,0.001181636,0.992513418,0.9,0.909738,0.849821,0.879779
184103000,00:15:40:000,01:20:18:800,2.79E-05,0,0.998557508,0.001414518,0.6,0.961479,0.903402,0.93244
184103000,00:15:41:000,01:20:19:811,9.19E-05,0,0.999333739,0.000574377,0.6,0.860569,0.825625,0.843097
184103000,00:15:42:000,01:20:20:800,0.036654305,0,0.778478682,0.184867039,0.6,0.579895,0.57494,0.577418
184103000,00:15:43:000,01:20:21:803,0.000144687,0,0.990561426,0.009293889,0.6,0.79785,0.675241,0.736546
184103000,00:15:44:000,01:20:22:799,1.34E-05,7.16E-07,0.992822826,0.007163096,0.6,0.744109,0.872188,0.808149
184103000,00:15:45:000,01:20:23:811,6.22E-10,3.83E-06,0.999335766,0.00066041,0.6,0.826354,0.799411,0.812882
184103000,00:15:46:000,01:20:24:805,1.29E-06,2.01E-08,0.980921447,0.019077227,0.6,0.819715,0.716726,0.76822
184103000,00:15:47:000,01:20:25:795,1.83E-07,0,0.619508326,0.380491465,0.6,0.887958,0.800335,0.844146
184103000,00:15:48:000,01:20:26:797,0.003585764,0,0.210539505,0.785874724,0.9,0.883208,0.80986,0.846534
184103000,00:15:49:000,01:20:27:803,0.000189348,0,0.838173985,0.16163668,0.6,0.891848,0.742899,0.817373
