@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute state {1,2}

@data
2.060590,2.352315,1.450793,0.951556,2
2.305034,2.472037,1.602623,1.099820,2
2.348185,2.366663,1.568082,1.218421,2
2.276861,2.486424,1.657376,1.185470,2
2.257195,2.378157,1.597013,1.185929,2
2.151394,2.180193,1.515315,1.195333,2
2.213616,2.170385,1.545018,1.288775,2
2.187851,2.422532,1.980951,1.659481,2
2.317665,2.464610,1.458365,1.051830,2
2.427010,2.348155,1.535183,1.031294,2
2.298672,2.739207,1.581233,1.011786,2
2.450664,2.742318,1.524523,0.972288,2
2.253992,2.351739,1.495622,1.191074,2
2.305680,2.062740,1.472707,1.221816,2
2.389227,2.221128,1.508587,1.221305,2
2.167127,2.402902,1.652588,1.313017,2
2.269573,2.378443,1.671898,1.252788,2
2.170192,2.486906,1.616545,1.144443,2
2.478254,2.411869,1.840083,1.754648,2
2.424538,2.404393,1.719861,1.591267,2
2.301409,2.068317,1.488549,1.067541,2
2.072613,2.028735,1.498027,1.113399,2
2.359887,2.209624,1.550124,1.189502,2
2.044214,2.501046,1.624624,1.219905,2
1.902416,2.440955,1.580063,1.062737,2
2.108462,2.303299,1.489217,1.128924,2
2.063829,2.177444,1.473889,1.100276,2
1.990100,2.204849,1.450213,1.051688,2
2.300421,2.273708,1.447610,1.045998,2
2.610129,2.354721,1.534934,1.142921,2
2.429573,2.327645,1.530765,1.184049,2
2.062162,2.365826,1.574669,1.052685,2
2.265942,2.278305,1.445397,1.034412,2
2.215140,1.995322,1.489560,1.180118,2
2.084366,2.205265,1.466776,1.098919,2
2.093475,2.326908,1.546256,1.020785,2
2.244691,2.320384,1.465654,1.051273,2
2.282335,2.220881,1.516377,1.110388,2
2.069419,2.143125,1.603662,1.220101,2
2.252598,2.342237,1.544510,1.285697,2
2.333111,2.474555,1.522554,1.068252,2
2.299352,2.532101,1.526428,1.139381,2
2.197078,2.403137,1.595590,1.121322,2
2.171591,2.266492,1.613537,1.035805,2
1.980697,2.301684,1.472094,0.920276,2
2.205591,2.184666,1.505665,1.055838,2
2.179099,2.149380,1.406166,1.110628,2
2.175400,2.016305,1.485245,1.136472,2
2.364657,2.200328,1.428650,1.155882,2
2.344765,2.381258,1.492251,1.097947,2
2.038715,2.555168,1.548930,1.005427,2
2.203762,2.565497,1.407912,1.116161,2
2.471867,2.608527,1.527687,1.108213,2
2.178716,2.601965,1.650928,1.111731,2
2.093712,2.470248,1.690699,0.959477,2
2.147625,2.117875,1.685500,1.100011,2
2.588969,2.441640,1.529463,1.071612,2
2.523042,2.306064,1.499920,0.964080,2
2.015902,2.125916,1.554638,1.074962,2
2.112461,2.155524,1.518734,1.175526,2
2.173282,2.213673,1.599019,1.160113,2
2.159115,2.650572,1.650400,1.122043,2
2.358271,2.226232,1.557592,1.108324,2
2.368853,2.265714,1.522126,0.997576,2
2.187440,2.364706,1.556759,1.082087,2
2.129259,2.395572,1.538949,1.021561,2
